"Reference","Value","LCSC"
"C2,C3","100nF","C49678"
"C10,C11,C12,C13","1uF","C28323"
"D3,D4,D5","1N4148W","C241939"
"J1","VBAT",""
"J2,J3","GND",""
"J4","PWM",""
"J5","Programming","C22438289"
"Q1,Q2,Q3,Q4,Q5,Q10","SiR158DP","C142530"
"Q7,Q8,Q9","BC817","C39828"
"R4","470K","C89104"
"R11,R12,R13,R14,R15,R16","47K","C17713"
"R17,R18,R19,R22,R25,R30","4.7K","C17673"
"R20,R23,R26,R29,R31,R34","100","C17408"
"R21,R27,R32","10K","C84376"
"R24,R28,R33","2.2K","C17520"
"U1","ATmega8A-A","C16190"
"U3","TPS709","C2865456"
"Y1","16Mhz","C882606"
